osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,pedestrian_priority_score,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
28798433,0,0.7371,11,0.05756180975324577,0.1029,242.91,250.59,242.91,,0.0,0.6712928232058013,0.5384615384615384,0.07805028549186115,0.10281028102810282,0.2317690427076171,0.6906077348066298,low,0.9917
255493344,0,1.0,10,0.043458311391221936,0.2372,86.43,86.43,86.87,,0.0,1.0,0.46153846153846156,0.05892649067688948,0.23712371237123714,0.08233058293223319,0.6906077348066298,low,1.0
6276386,0,0.7939,12,0.007578660278408064,0.5,114.66,118.27,114.66,,0.0,0.7423105776444112,0.6153846153846154,0.01027508034583176,0.49994999499949994,0.1092902437160975,0.6906077348066298,low,0.9989
521639308,0,0.7294,11,0.10892965653791342,0.2401,170.7,170.75,170.7,,0.0,0.6616654163540886,0.5384615384615384,0.14770308629212445,0.24002400240024005,0.16280846512338606,0.6906077348066298,low,0.9754
28798534,0,0.7667,10,0.05207111852526319,0.5,189.36,194.0,189.36,,0.0,0.7083020755188797,0.46153846153846156,0.0706051219061339,0.49994999499949994,0.18062877225150895,0.6906077348066298,low,0.9878
28798534,0,0.7798,11,0.011402812300457529,0.5,192.54,195.22,192.54,,0.0,0.7246811702925732,0.5384615384615384,0.015460481636610407,0.49994999499949994,0.18366567346626939,0.6906077348066298,low,0.9934
28798534,0,0.7179,10,0.05622930205149696,0.5,195.81,200.91,195.81,,0.0,0.6472868217054264,0.46153846153846156,0.0762434569147593,0.49994999499949994,0.1867885247154099,0.6906077348066298,low,0.9322
"[6276385, 6276350, 6276351]",0,0.6955,10,0.33041644767501055,0.5,81.81,81.81,82.21,,0.0,0.6192798199549887,0.46153846153846156,0.44803055393218283,0.49994999499949994,0.07791848116739247,0.6906077348066298,medium,0.9584
28798534,0,0.7667,10,0.0520711185252632,0.5,189.36,194.0,189.36,,0.0,0.7083020755188797,0.46153846153846156,0.07060512190613391,0.49994999499949994,0.18062877225150895,0.6906077348066298,low,0.9878
6276387,0,1.0,11,0.12119512900424216,0.5,216.28,221.51,216.28,,0.0,1.0,0.5384615384615384,0.16433458953577043,0.49994999499949994,0.20633738253495304,0.6906077348066298,low,0.9996
28798534,0,0.6726,11,0.12119512900424216,0.5,207.88,213.12,207.88,,0.0,0.5906476619154788,0.5384615384615384,0.16433458953577043,0.49994999499949994,0.19831537932615176,0.6906077348066298,medium,0.8739
6276338,0,0.7376,12,0.042277958487058294,0.5,338.18,343.26,338.18,,0.0,0.6719179794948738,0.6153846153846154,0.05732597808284667,0.49994999499949994,0.32275192910077166,0.6906077348066298,medium,0.8912
6276387,0,1.0,11,0.12119512900424216,0.5,216.28,221.51,216.28,,0.0,1.0,0.5384615384615384,0.16433458953577043,0.49994999499949994,0.20633738253495304,0.6906077348066298,low,0.9996
"[683507392, 6276329, 6276364, 6276388]",0,0.6708,10,0.3757779689185263,0.5,46.01,51.17,46.01,,0.0,0.5883970992748186,0.46153846153846156,0.509539011088588,0.49994999499949994,0.043729467491787,0.6906077348066298,medium,0.986
6276366,0,0.7953,13,0.12701653124540324,0.5,227.97,233.09,227.97,,0.0,0.7440610152538133,0.6923076923076923,0.1722281843827872,0.49994999499949994,0.2175013370005348,0.6906077348066298,medium,0.6842
1068416045,0,0.9404,7,0.008537976548577741,0.5,234.96,247.45,234.96,0.5575,0.0,0.9254813703425855,0.23076923076923078,0.01157587586779871,0.49994999499949994,0.2241767896707159,0.7016574585635359,low,1.0
28798536,0,0.924,10,0.012464330753943143,0.5,182.8,194.98,182.8,0.4725,0.0,0.9049762440610152,0.46153846153846156,0.016899859341040605,0.49994999499949994,0.17436396974558793,0.5138121546961325,low,0.9993
31761870,0,1.0,6,0.0058822139474671185,0.0001,264.79,264.96,264.79,0.555,0.0,1.0,0.15384615384615385,0.00797476515347613,0.0,0.25266445106578045,0.696132596685083,low,1.0
"[1453924154, 1453924155, 246292532]",0,1.0,5,0.0028540276905338483,0.0232,437.81,439.15,437.81,0.3,0.0,1.0,0.07692307692307693,0.003868662458059583,0.0231023102310231,0.4178986171594469,0.13259668508287292,low,0.9928
241916279,0,0.9804,4,0.002723332878634019,0.0052,323.82,328.48,323.82,0.36,0.0,0.975493873468367,0.0,0.0036914453802823644,0.0051005100510051,0.30903812361524946,0.26519337016574585,low,1.0
"[406223520, 4633053]",0,0.9858,6,0.002989268367076663,0.0707,341.22,345.22,341.22,0.475,0.0,0.9822455613903476,0.15384615384615385,0.00405204355134966,0.0706070607060706,0.3256551302620521,0.5193370165745856,low,1.0
"[37018385, 480076133]",0,0.9991,6,0.32151918565431065,0.5,245.59,245.59,248.02,0.515,0.0,0.9988747186796698,0.15384615384615385,0.43596621294873844,0.49994999499949994,0.2343284437313775,0.6077348066298343,low,0.9799
101233561,0,1.0,7,0.009885847486619153,0.0719,173.29,173.29,174.64,0.515,0.0,1.0,0.23076923076923078,0.013403536395315404,0.07180718071807181,0.16528191611276646,0.6077348066298343,low,1.0
827659510,0,1.0,6,0.009885847486619153,0.0719,125.04,125.04,126.94,0.455,0.0,1.0,0.15384615384615385,0.013403536395315404,0.07180718071807181,0.11920314768125909,0.4751381215469614,low,1.0
335706988,0,1.0,6,0.2425210725460212,1.0,98.32,98.32,104.5,0.495,0.0,1.0,0.15384615384615385,0.32884784649288124,1.0,0.093685537474215,0.56353591160221,low,0.991
1447727245,0,1.0,6,0.32737895648930715,1.0,142.29,142.29,147.4,0.535,0.0,1.0,0.15384615384615385,0.44391183411553864,1.0,0.1356769042707617,0.6519337016574587,low,0.9294
