osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,pedestrian_priority_score,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
4745980,0,0.4156,8,0.3417955890402818,0.4134,138.9,143.35,138.9,0.6525,0.0,0.2867081655071403,0.5,0.47400206733856415,0.41334133413341334,0.4066858080393765,0.8268156424581006,medium,0.8335
868722651,0,0.4265,8,0.3796396832486287,0.3641,139.59,139.74,139.59,0.425,0.0,0.30001220554131575,0.5,0.5264850476436957,0.36403640364036405,0.40870737138169455,0.3184357541899442,high,0.9999
4744944,0,0.5769,7,0.25355030284338137,0.493,5.49,5.49,11.23,0.425,0.0,0.48358354693030636,0.4,0.35162166124415356,0.49294929492949296,0.015820930505097853,0.3184357541899442,medium,0.9998
"[1408598865, 237960947]",0,0.4256,8,0.3225005507547199,0.0048,10.6,10.6,12.95,0.425,0.0,0.2989137068228976,0.5,0.4472433052249091,0.0047004700470047,0.030792218446033044,0.3184357541899442,medium,1.0
237960949,0,0.4917,8,0.14126661908914434,0.0048,129.46,133.94,129.46,0.4475,0.0,0.37959233492005373,0.5,0.19590430332251813,0.0047004700470047,0.37902847767490916,0.36871508379888274,medium,0.9999
4744966,0,0.4258,8,0.2316712647197807,0.279,121.9,121.9,127.34,0.4475,0.0,0.29915781764921273,0.5,0.32127935418259645,0.278927892789279,0.3568791749677721,0.36871508379888274,medium,0.6676
"[1408598866, 542781428]",0,0.4089,8,0.2911394570646704,0.0322,113.25,118.43,113.25,0.425,0.0,0.2785304528255828,0.5,0.403751085450252,0.0321032103210321,0.3315363881401617,0.3184357541899442,medium,0.6912
"[1408598867, 237914526]",0,0.4094,8,0.20567805135069941,0.0603,166.4,174.23,166.4,0.425,0.0,0.2791407298913707,0.5,0.2852314229570239,0.0602060206020602,0.48725536153756,0.3184357541899442,high,0.7629
"[1409652520, 243716769]",0,0.3947,8,0.20638568245991265,0.0603,137.49,142.65,137.49,0.385,0.0,0.26119858415720737,0.5,0.2862127805597102,0.0602060206020602,0.4025547872963787,0.229050279329609,high,0.6344
"[237914520, 1409649744]",0,0.3718,7,0.43913284598167734,0.0775,127.64,127.64,132.77,0.385,0.0,0.23324789454412304,0.4,0.6089914083672114,0.0774077407740774,0.3736962381343021,0.229050279329609,high,0.9998
237914527,0,0.4248,7,0.20627063521878208,0.0747,1.78,1.78,6.89,0.465,0.0,0.297937263517637,0.4,0.2860532306426961,0.0746074607460746,0.0049513652877065505,0.40782122905027945,medium,0.9963
86301093,0,0.3979,7,0.3465591561563798,0.0806,121.41,126.15,121.41,,0.0,0.26510435737824967,0.4,0.48060828171272674,0.08050805080508051,0.35544357201453175,0.4581005586592179,medium,0.7056
237914527,0,0.4284,6,0.3544699111628548,0.0049,99.42,99.42,150.32,0.465,0.0,0.30233125839130964,0.3,0.49157908198919303,0.0048004800480048,0.2910172272354388,0.40782122905027945,medium,0.991
238866888,0,0.4061,7,0.3508196254015168,0.0049,122.83,139.37,122.83,0.385,0.0,0.27511290125717075,0.4,0.48651678945113697,0.0048004800480048,0.3596038907769834,0.229050279329609,high,0.9414
288234925,0,0.535,7,0.32801042120204577,0.4121,100.74,101.14,100.74,0.6925,0.0,0.4324423288172831,0.4,0.45488450864700214,0.41204120412041206,0.29488456580335165,0.9162011173184358,medium,0.9998
4745969,0,0.4894,8,0.2705308922865119,0.4577,149.23,149.23,154.63,0.5125,0.0,0.3767850604174295,0.5,0.37517069736077924,0.45764576457645767,0.43695066213523953,0.5139664804469273,high,0.7839
553586753,0,0.4019,7,0.231934833811669,0.2314,71.22,71.22,72.27,0.6925,0.0,0.2699865739045526,0.4,0.3216448773044463,0.23132313231323132,0.20839681237548338,0.9162011173184358,medium,0.9937
116315114,0,0.5052,6,0.25551151569626146,0.2637,91.97,91.97,101.16,0.6925,0.0,0.39606981569632616,0.3,0.35434151219276405,0.2636263626362636,0.26919020274229455,0.9162011173184358,medium,0.9742
237795735,0,0.442,7,0.29587929940402596,0.4547,67.5,69.75,67.5,0.6925,0.0,0.31893079458073964,0.4,0.41032439780848406,0.45464546454645466,0.1974979491386382,0.9162011173184358,medium,0.9995
237667608,0,0.5868,7,0.11125677646292301,0.1131,54.01,56.66,54.01,0.4425,0.0,0.49566703283290614,0.4,0.15428602674702305,0.11301130113011301,0.15797492089534743,0.35754189944134085,medium,0.9738
237795735,0,0.8271,7,0.030926411569173164,0.002,41.72,41.72,44.81,0.6925,0.0,0.7889661906505553,0.4,0.0428821988363307,0.0019001900190019003,0.12196765498652289,0.9162011173184358,low,1.0
237667614,0,0.4054,8,0.34584451424514684,0.6223,104.39,104.39,108.92,0.6925,0.0,0.27425851336506774,0.5,0.4796172013833635,0.6222622262226223,0.30557834290401964,0.9162011173184358,medium,0.9738
243716770,0,0.4289,8,0.3257156513262369,0.2913,136.15,136.15,141.19,0.4875,0.0,0.3029415354570975,0.5,0.4517020738519233,0.29122912291229125,0.3986288526895581,0.4581005586592179,high,0.9446
4744966,0,0.4239,7,0.290159518954423,0.0213,112.24,112.41,112.24,0.4475,0.0,0.29683876479921883,0.4,0.4023920868108019,0.0212021202120212,0.3285772881753193,0.36871508379888274,medium,0.9765
