osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
198644581,0,0.5399,12,0.14009237114543974,0.4768,18.92,18.92,96.44,0.0,0.3959564132860707,0.5333333333333333,0.19091878186889022,0.4768,0.044210775047258975,medium,0.6041
656511223,0,0.3917,10,0.5009683380371259,0.0,83.52,83.52,154.34,0.0,0.2013916239989497,0.4,0.6827228639997497,0.0,0.19685727788279772,high,1.0
4261173,0,0.7693,9,0.09419403292533089,0.0029,17.32,17.32,23.67,0.0,0.6971248523040565,0.3333333333333333,0.12836823217698606,0.0029,0.04043005671077504,medium,1.0
109462894,0,0.5603,12,0.16622523989562635,0.0,35.99,35.99,125.09,0.0,0.4227386110017067,0.5333333333333333,0.22653282300283262,0.0,0.08454631379962192,medium,0.9993
112538800,0,0.7588,10,0.058493950174901124,0.0615,98.12,98.12,102.45,0.0,0.6833398975974793,0.4,0.07971593044490494,0.0615,0.23135633270321362,medium,1.0
334731364,1,0.9508,7,0.0010653160170426875,0.5,72.5,74.99,72.5,0.09090909090909091,0.9354076408034657,0.2,0.0014518195003499195,0.5,0.17081758034026465,low,1.0
7972767,0,0.4541,6,0.4438089201539712,0.1005,79.47,86.97,79.47,0.0,0.28331364054089536,0.13333333333333333,0.6048256427209592,0.1005,0.18728733459357277,high,1.0
252387586,1,0.7179,6,0.20158867458541452,0.0,83.73,83.73,83.96,0.09090909090909091,0.6296442168832873,0.13333333333333333,0.27472633859880435,0.0,0.19735349716446124,high,1.0
252387586,3,0.8807,6,0.0719358308016281,0.1648,82.0,229.7,82.0,0.2727272727272727,0.8433766574766969,0.13333333333333333,0.0980346115714988,0.1648,0.19326559546313798,medium,1.0
7972761,1,0.4336,6,0.49599648946332364,0.2036,143.65,148.21,143.65,0.09090909090909091,0.25640015754233947,0.13333333333333333,0.675947196876795,0.2036,0.33894139886578445,high,1.0
7972768,0,0.3579,6,0.5334113963255257,0.1874,168.88,176.46,168.88,0.0,0.15701719837206246,0.13333333333333333,0.726936471906295,0.1874,0.39855860113421543,high,1.0
