borough,lighting,lighting_norm,visibility,visibility_norm,connectivity,connectivity_norm,enclosure,enclosure_norm,public_transport_proximity_m,public_transport_proximity_m_norm,dominant_land_use_score,dominant_land_use_score_norm,pedestrian_priority_score,pedestrian_priority_score_norm,risk_score,location_id,risk_class,cluster_id,pc1_score
"London Borough of Southwark, London, UK",0.0,0.0,0.8113,0.7494689325544345,8,0.3571428571428571,0.2124918037552726,0.1870502476452157,163.64,0.3017622367277501,0.0256,0.0256,0.5925,0.6496815286624205,0.3242401725462074,SOU_15919_-26986,low,2,1.6040270781517956
"London Borough of Southwark, London, UK",0.0,0.0,0.8113,0.7494689325544345,8,0.3571428571428571,0.2124918037552726,0.1870502476452157,163.64,0.3017622367277501,0.0256,0.0256,0.5925,0.6496815286624205,0.3242401725462074,SOU_15919_-26986,low,2,1.6040270781517956
"London Borough of Southwark, London, UK",0.0,0.0,0.7741,0.7000796601168349,12,0.6428571428571429,0.3038706488485794,0.267488341266569,81.03,0.1490042345457571,0.0171,0.0171,0.5925,0.6496815286624205,0.3320950914595909,SOU_15911_-26987,low,2,1.1232805900021903
"London Borough of Southwark, London, UK",0.0,0.0,0.7598,0.6810939989378652,12,0.6428571428571429,0.2890373594638978,0.2544310355081157,129.83,0.239242589544925,0.026,0.026,0.5925,0.6496815286624205,0.3539897770718962,SOU_15914_-26991,medium,0,1.1912402520870922
"London Borough of Southwark, London, UK",0.0,0.0,0.7888,0.7195963887413701,10,0.5,0.1976623469606951,0.1739963156024325,49.41,0.0905342184581815,-0.0,-0.0,0.5925,0.6496815286624205,0.2896996283487697,SOU_15896_-26986,low,2,1.4636425350532238
"London Borough of Southwark, London, UK",0.0,0.0,0.7702,0.6949017525225704,14,0.7857142857142857,0.2530264600206092,0.2227317062175055,18.5,0.0333770964699791,-0.0,-0.0,0.5925,0.6496815286624205,0.3101782103120244,SOU_15895_-26989,low,2,1.3198552642511252
"London Borough of Southwark, London, UK",0.0,0.0,0.7465,0.6634360063728094,14,0.7857142857142857,0.2952285978296092,0.2598809994552928,65.18,0.1196952606372159,0.0498,0.0498,0.5925,0.6496815286624205,0.3438528225091736,SOU_15899_-26990,low,2,1.0157128861490456
"London Borough of Southwark, London, UK",0.0,0.0,0.7666,0.69012214551248,14,0.7857142857142857,0.2960807509359053,0.260631124621287,43.11,0.0788845947595184,0.0116,0.0116,0.5925,0.6496815286624205,0.3276916659693931,SOU_15901_-26987,low,2,1.161329796835699
"London Borough of Southwark, London, UK",0.0,0.0,0.7888,0.7195963887413701,10,0.5,0.1976623469606951,0.1739963156024325,49.41,0.0905342184581815,-0.0,-0.0,0.5925,0.6496815286624205,0.2896996283487697,SOU_15896_-26986,low,2,1.4636425350532238
"London Borough of Southwark, London, UK",0.0,0.0,0.695,0.59506107275624,12,0.6428571428571429,0.2894807004066669,0.254821295422478,118.17,0.2176815399693041,0.169,0.169,0.5925,0.6496815286624205,0.3743140177180502,SOU_15834_-26970,medium,0,0.4782813091800432
"London Borough of Southwark, London, UK",0.0,0.0,0.6783,0.5728890069038768,8,0.3571428571428571,0.2568336935868761,0.2260831012775878,89.47,0.1646110320087279,0.0522,0.0522,0.5925,0.6496815286624205,0.3294050771255683,SOU_15834_-26982,low,2,0.479173696019641
"London Borough of Southwark, London, UK",0.0,0.0,0.6935,0.5930695698353691,12,0.6428571428571429,0.2416242620633895,0.2126946887236259,135.73,0.2501525545960539,0.0,0.0,0.5925,0.6496815286624205,0.3617632973436599,SOU_15829_-26981,medium,0,1.087030659706737
"London Borough of Southwark, London, UK",0.0,0.0,0.6532,0.5395645246946362,12,0.6428571428571429,0.3436803312725287,0.3025316268167879,5.61,0.0095415965531907,0.2841,0.2841,0.4825,0.3694267515923566,0.386273090097317,SOU_15833_-26959,medium,0,-0.7702946512095463
"London Borough of Southwark, London, UK",0.0,0.0,0.695,0.59506107275624,12,0.6428571428571429,0.2894807004066668,0.2548212954224779,118.17,0.2176815399693041,0.169,0.169,0.5925,0.6496815286624205,0.3743140177180502,SOU_15834_-26970,medium,0,0.47828130918004363
"London Borough of Southwark, London, UK",0.0,0.0,0.6369,0.5179235262878386,12,0.6428571428571429,0.432594196419198,0.3807998715248624,55.26,0.1013517261783686,0.2153,0.2153,0.4825,0.3694267515923566,0.4185018637732446,SOU_15839_-26958,medium,0,-0.9334597566428754
"London Borough of Southwark, London, UK",0.0,0.0,0.6674,0.5584174190122145,12,0.6428571428571429,0.3732794722962462,0.3285868748815483,9.83,0.0173449952846761,0.2824,0.2824,0.5225,0.4713375796178343,0.376736776794805,SOU_15825_-26961,medium,0,-0.688167823588994
"London Borough of Southwark, London, UK",0.0,0.0,0.6799,0.5750132766861391,12,0.6428571428571429,0.3060371430137094,0.2693954419779742,117.23,0.2159433421475989,0.174,0.174,0.5925,0.6496815286624205,0.3799015038584867,SOU_15826_-26970,medium,0,0.31801082635970457
"London Borough of Southwark, London, UK",0.0,0.0,0.6593,0.5476633032395114,12,0.6428571428571429,0.3870100481937136,0.3406734945842576,31.73,0.0578413062371715,0.3094,0.3094,0.53,0.4904458598726115,0.3896593103728751,SOU_15828_-26960,medium,0,-0.7793964864974193
"London Borough of Southwark, London, UK",0.0,0.0,0.7441,0.6602496016994158,8,0.3571428571428571,0.3446754225338386,0.3034075762113913,79.72,0.1465818524750827,0.3225,0.3225,0.5925,0.6496815286624205,0.3449773284148197,SOU_15853_-26991,low,2,-0.15151679353357134
"London Borough of Southwark, London, UK",0.0,0.0,0.7441,0.6602496016994158,8,0.3571428571428571,0.3446754225338386,0.3034075762113913,79.72,0.1465818524750827,0.3225,0.3225,0.5925,0.6496815286624205,0.3449773284148197,SOU_15853_-26991,low,2,-0.15151679353357134
"London Borough of Southwark, London, UK",0.0,0.0,0.7225,0.6315719596388741,14,0.7857142857142857,0.2232329430338058,0.1965053547436302,88.68,0.163150206179848,0.1954,0.1954,0.5925,0.6496815286624205,0.3602173867551991,SOU_15847_-26986,medium,0,0.8787831185167476
"London Borough of Southwark, London, UK",0.0,0.0,0.7291,0.6403345724907062,8,0.3571428571428571,0.3179003049922971,0.2798382324608758,64.89,0.1191590081177536,0.351,0.351,0.6075,0.6878980891719746,0.3359938254685148,SOU_15859_-26989,low,2,-0.18895855055025484
